,,sigma(r=0),,,
SATs,MDetYr,South Pole - A4,Chile - A4,South Pole - A7,Chile - A7
6,0.36,6.30,12.00,8.40,16.00
9,0.54,5.00,8.70,6.70,12.00
12,0.72,4.50,7.10,6.00,9.70
18,1.08,4.00,5.70,5.20,7.80
30,1.80,3.50,4.40,4.40,6.00
