Sigma(Neff),Spin-0,Spin-½,Spin-1,FORECAST,,,
0.0665,1.665E+02,2.604E+02,3.302E+02,,,,
0.0670,1.658E+02,2.577E+02,3.256E+02,,,,
0.0675,1.652E+02,2.551E+02,3.210E+02,,,,
0.0680,1.645E+02,2.527E+02,3.165E+02,,,,
0.0685,1.639E+02,2.504E+02,3.121E+02,,,,
0.0690,1.633E+02,2.482E+02,3.078E+02,,,,
0.0695,1.627E+02,2.461E+02,3.036E+02,,,,
0.0700,1.621E+02,2.441E+02,2.995E+02,,,,
0.0705,1.615E+02,2.421E+02,2.955E+02,,,,
0.0710,1.610E+02,2.401E+02,2.917E+02,,,,
0.0715,1.604E+02,2.383E+02,2.880E+02,,,,
0.0720,1.598E+02,2.365E+02,2.844E+02,,,,
0.0725,1.593E+02,2.347E+02,2.809E+02,,,,
0.0730,1.587E+02,2.330E+02,2.776E+02,,,,
0.0735,1.582E+02,2.313E+02,2.744E+02,,,,
0.0740,1.577E+02,2.297E+02,2.714E+02,,,,
0.0745,1.572E+02,2.282E+02,2.685E+02,,,,
0.0750,1.568E+02,2.266E+02,2.657E+02,,,,
0.0755,1.563E+02,2.252E+02,2.630E+02,,,,
0.0760,1.559E+02,2.237E+02,2.604E+02,,,,
0.0765,1.555E+02,2.223E+02,2.580E+02,,,,
0.0770,1.551E+02,2.209E+02,2.557E+02,,,,
0.0775,1.547E+02,2.196E+02,2.536E+02,,,,
0.0780,1.543E+02,2.183E+02,2.515E+02,,,,
0.0785,1.539E+02,2.170E+02,2.496E+02,,,,
0.0790,1.536E+02,2.158E+02,2.477E+02,,,,
0.0795,1.532E+02,2.146E+02,2.458E+02,,,,
0.0800,1.529E+02,2.134E+02,2.441E+02,,,,
0.0805,1.525E+02,2.122E+02,2.423E+02,,,,
0.0810,1.522E+02,2.111E+02,2.406E+02,,,,
0.0815,1.519E+02,2.100E+02,2.390E+02,,,,
0.0820,1.515E+02,2.089E+02,2.374E+02,,,,
0.0825,1.512E+02,2.079E+02,2.358E+02,,,,
0.0830,1.509E+02,2.069E+02,2.343E+02,,,,
0.0835,1.506E+02,2.058E+02,2.328E+02,,,,
0.0840,1.503E+02,2.049E+02,2.313E+02,,,,
0.0845,1.500E+02,2.039E+02,2.299E+02,,,,
0.0850,1.497E+02,2.029E+02,2.285E+02,,,,
0.0855,1.494E+02,2.020E+02,2.272E+02,,,,
0.0860,1.490E+02,2.011E+02,2.259E+02,,,,
0.0865,1.487E+02,2.002E+02,2.246E+02,,,,
0.0870,1.484E+02,1.994E+02,2.234E+02,,,,
0.0875,1.481E+02,1.985E+02,2.221E+02,,,,
0.0880,1.478E+02,1.977E+02,2.209E+02,,,,
0.0885,1.475E+02,1.968E+02,2.198E+02,,,,
0.0890,1.472E+02,1.960E+02,2.186E+02,,,,
0.0895,1.468E+02,1.952E+02,2.175E+02,,,,
0.0900,1.465E+02,1.945E+02,2.164E+02,,,,
0.0905,1.462E+02,1.937E+02,2.153E+02,,,,
0.0910,1.459E+02,1.930E+02,2.143E+02,,,,
0.0915,1.455E+02,1.922E+02,2.132E+02,,,,
0.0920,1.452E+02,1.915E+02,2.122E+02,,,,
0.0925,1.449E+02,1.908E+02,2.113E+02,,,,
0.0930,1.445E+02,1.901E+02,2.103E+02,,,,
0.0935,1.442E+02,1.894E+02,2.093E+02,,,,
0.0940,1.438E+02,1.887E+02,2.084E+02,,,,
0.0945,1.435E+02,1.881E+02,2.075E+02,,,,
0.0950,1.431E+02,1.874E+02,2.066E+02,,,,
0.0955,1.428E+02,1.868E+02,2.057E+02,,,,
0.0960,1.424E+02,1.861E+02,2.049E+02,,,,
0.0965,1.420E+02,1.855E+02,2.040E+02,,,,
0.0970,1.417E+02,1.849E+02,2.032E+02,,,,
