Years,DetYr,A4/ScaledDelensing,A7/ScaledDelensing,,,,,,,,,,,,,,,A4/FixedDelensing,A7/FixedDelensing,,SPO-Years
5.4,1.52E+06,4.29E-04,5.68E-04,,,,,,,,,,,,,,,4.01E-04,5.43E-04,,29.95
5.5,1.55E+06,4.23E-04,5.61E-04,,,,,,,,,,,,,,,3.98E-04,5.39E-04,,30.50
5.6,1.57E+06,4.18E-04,5.55E-04,,,,,,,,,,,,,,,3.95E-04,5.34E-04,,31.06
5.7,1.60E+06,4.13E-04,5.49E-04,,,,,,,,,,,,,,,3.92E-04,5.30E-04,,31.61
5.8,1.63E+06,4.09E-04,5.43E-04,,,,,,,,,,,,,,,3.89E-04,5.26E-04,,32.17
5.9,1.66E+06,4.04E-04,5.37E-04,,,,,,,,,,,,,,,3.86E-04,5.22E-04,,32.72
6.0,1.69E+06,4.00E-04,5.32E-04,,,,,,,,,,,,,,,3.84E-04,5.18E-04,,33.28
6.1,1.71E+06,3.95E-04,5.26E-04,,,,,,,,,,,,,,,3.81E-04,5.14E-04,,33.83
6.2,1.74E+06,3.91E-04,5.21E-04,,,,,,,,,,,,,,,3.79E-04,5.10E-04,,34.39
6.3,1.77E+06,3.87E-04,5.16E-04,,,,,,,,,,,,,,,3.76E-04,5.07E-04,,34.94
6.4,1.80E+06,3.83E-04,5.11E-04,,,,,,,,,,,,,,,3.74E-04,5.03E-04,,35.49
6.5,1.83E+06,3.79E-04,5.06E-04,,,,,,,,,,,,,,,3.71E-04,5.00E-04,,36.05
6.6,1.85E+06,3.75E-04,5.02E-04,,,,,,,,,,,,,,,3.69E-04,4.96E-04,,36.60
6.7,1.88E+06,3.72E-04,4.97E-04,,,,,,,,,,,,,,,3.67E-04,4.93E-04,,37.16
6.8,1.91E+06,3.68E-04,4.93E-04,,,,,,,,,,,,,,,3.65E-04,4.90E-04,,37.71
6.9,1.94E+06,3.65E-04,4.88E-04,,,,,,,,,,,,,,,3.63E-04,4.87E-04,,38.27
7.0,1.97E+06,3.61E-04,4.84E-04,,,,,,,,,,,,,,,3.61E-04,4.84E-04,,38.82
7.1,1.99E+06,3.58E-04,4.80E-04,,,,,,,,,,,,,,,3.59E-04,4.81E-04,,39.38
7.2,2.02E+06,3.55E-04,4.76E-04,,,,,,,,,,,,,,,3.57E-04,4.78E-04,,39.93
7.3,2.05E+06,3.52E-04,4.72E-04,,,,,,,,,,,,,,,3.55E-04,4.75E-04,,40.49
7.4,2.08E+06,3.48E-04,4.68E-04,,,,,,,,,,,,,,,3.54E-04,4.72E-04,,41.04
7.5,2.11E+06,3.46E-04,4.64E-04,,,,,,,,,,,,,,,3.52E-04,4.70E-04,,41.60
7.6,2.13E+06,3.43E-04,4.60E-04,,,,,,,,,,,,,,,3.50E-04,4.67E-04,,42.15
7.7,2.16E+06,3.40E-04,4.57E-04,,,,,,,,,,,,,,,3.49E-04,4.64E-04,,42.70
7.8,2.19E+06,3.37E-04,4.53E-04,,,,,,,,,,,,,,,3.47E-04,4.62E-04,,43.26
7.9,2.22E+06,3.34E-04,4.49E-04,,,,,,,,,,,,,,,3.45E-04,4.59E-04,,43.81
